tbl;Year;quarter;citymarketid;city;markets;cur_passengers;cur_fare;cur_yield;distance;ly_passengers;ly_fare;ly_yield;ly_distance;Geocoded_City;tbl2pk
Table 2;2000;4;32600;Little Rock, AR;9;244,070;145.72;22.04;660.9;246,380;134.19;20.02;670.2;"Little Rock, AR
(34.748745, -92.275105)";2000432600
Table 2;2008;1;33667;Norfolk, VA (Metropolitan Area);15;461,880;172.81;17.27;1,000.6;461,450;167.60;16.63;1,007.5;"Norfolk, VA (Metropolitan Area)
(36.846164, -76.285913)";2008133667
Table 2;2017;4;30466;Phoenix, AZ;58;5,435,320;200.01;17.33;1,154.0;5,179,880;193.61;16.84;1,150.0;"Phoenix, AZ
(30.406931, -87.217578)";2017430466
Table 2;2011;1;31884;Spokane, WA;10;352,510;142.47;22.74;626.4;355,760;134.63;21.20;634.9;"Spokane, WA
(47.658999, -117.425022)";2011131884
Table 2;2005;3;35096;Syracuse, NY;9;225,530;155.37;15.58;996.8;197,140;149.95;15.77;950.4;"Syracuse, NY
(43.047945, -76.147448)";2005335096
Table 2;2014;4;34986;Sarasota/Bradenton, FL;5;129,720;208.62;21.20;984.0;129,060;206.06;20.63;998.8;"Sarasota/Bradenton, FL
(27.336483, -82.538602)";2014434986
Table 2;2001;1;32575;Los Angeles, CA (Metropolitan Area);60;9,260,380;186.18;16.02;1,161.6;8,955,210;187.74;16.05;1,169.1;"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)";2001132575
Table 2;1997;2;32337;Indianapolis, IN;29;1,151,840;152.58;15.81;964.6;1,081,620;145.74;15.13;962.6;"Indianapolis, IN
(39.76845, -86.156212)";1997232337
Table 2;2003;4;30529;Hartford, CT;27;1,078,740;169.77;13.62;1,246.2;1,049,860;161.82;12.77;1,266.6;"Hartford, CT
(41.765775, -72.673356)";2003430529
Table 2;1998;2;30977;Chicago, IL;72;7,915,730;187.03;21.00;890.4;7,666,500;182.45;20.74;879.4;"Chicago, IL
(41.775002, -87.696388)";1998230977
Table 2;2009;3;31453;Houston, TX;55;3,752,680;185.74;19.13;970.9;3,662,300;211.61;22.03;960.2;"Houston, TX
(29.760803, -95.369506)";2009331453
Table 2;2009;1;31714;Fort Myers, FL;31;1,947,750;157.53;13.79;1,142.3;1,968,110;171.79;14.99;1,145.8;"Fort Myers, FL
(40.253979, -103.801495)";2009131714
Table 2;1998;2;34614;Salt Lake City, UT;32;1,616,740;136.71;14.87;919.4;1,476,350;134.19;14.40;931.6;"Salt Lake City, UT
(40.758478, -111.888142)";1998234614
Table 2;2008;3;31650;Minneapolis/St. Paul, MN;41;2,753,120;254.44;23.63;1,076.5;3,076,530;200.04;19.19;1,041.9;"Minneapolis/St. Paul, MN
(44.977479, -93.264346)";2008331650
Table 2;2006;4;34027;West Palm Beach/Palm Beach, FL;17;1,193,940;152.47;14.34;1,062.5;1,152,570;141.68;13.14;1,077.8;"West Palm Beach/Palm Beach, FL
(33.90976, -98.500854)";2006434027
Table 2;2004;4;30436;Tucson, AZ;14;479,220;148.78;14.71;1,011.3;442,480;151.46;14.84;1,020.3;"Tucson, AZ
(35.167852, -103.726151)";2004430436
Table 2;2004;3;31423;Des Moines, IA;8;173,060;159.59;15.79;1,010.3;140,980;163.66;16.44;994.9;"Des Moines, IA
(41.588822, -93.620309)";2004331423
Table 2;2008;3;34492;Raleigh/Durham, NC;30;1,534,360;174.74;18.94;922.2;1,527,810;163.41;17.90;912.7;"Raleigh/Durham, NC
(42.673348, -72.179683)";2008334492
Table 2;2004;1;34057;Portland, OR;28;1,446,850;149.73;13.78;1,086.0;1,375,160;149.26;13.98;1,067.0;"Portland, OR
(45.516018, -122.681425)";2004134057
Table 2;2010;4;33214;San Antonio, TX;33;1,289,770;185.15;17.38;1,065.0;1,227,410;173.82;16.36;1,062.4;"San Antonio, TX
(29.425173, -98.494599)";2010433214
Table 2;2001;1;31267;Dayton, OH;11;241,590;177.59;24.71;718.6;228,430;186.75;25.66;727.7;"Dayton, OH
(39.760982, -84.192203)";2001131267
Table 2;2012;1;30852;Washington, DC (Metropolitan Area);73;6,958,940;221.63;21.21;1,044.9;6,957,640;210.95;20.01;1,053.9;"Washington, DC (Metropolitan Area)
(38.892062, -77.019912)";2012130852
Table 2;2009;4;34057;Portland, OR;32;1,766,320;181.41;15.32;1,183.6;1,779,220;185.68;15.96;1,163.0;"Portland, OR
(45.516018, -122.681425)";2009434057
Table 2;2002;4;32896;Lubbock, TX;3;116,100;92.44;25.48;362.8;109,000;85.98;23.56;364.9;"Lubbock, TX
(41.181125, -96.030508)";2002432896
Table 2;1999;4;30257;Albany, NY;7;161,700;168.09;19.60;857.4;162,400;164.05;18.90;867.8;"Albany, NY
(42.651242, -73.755418)";1999430257
Table 2;1998;3;31057;Charlotte, NC;30;914,330;245.20;31.59;776.0;880,810;226.82;30.23;750.2;"Charlotte, NC
(35.222936, -80.840161)";1998331057
Table 2;2019;3;30792;Buffalo, NY;16;779,810;198.48;20.98;945.9;808,970;187.39;19.54;958.9;(39.945422, -78.64671);2019330792
Table 2;2005;2;34986;Sarasota/Bradenton, FL;5;107,220;148.73;17.08;870.3;88,900;157.06;16.84;932.2;"Sarasota/Bradenton, FL
(27.336483, -82.538602)";2005234986
Table 2;2007;1;30559;Seattle, WA;40;3,039,600;178.42;13.49;1,322.1;3,063,480;174.05;13.17;1,320.6;"Seattle, WA
(47.603229, -122.33028)";2007130559
Table 2;2016;1;32600;Little Rock, AR;8;138,220;237.86;28.39;837.7;143,130;233.42;28.84;809.4;"Little Rock, AR
(34.748745, -92.275105)";2016132600
Table 2;2011;4;34524;Richmond, VA;11;337,410;213.04;23.06;923.6;382,230;171.10;19.49;877.8;"Richmond, VA
(37.540759, -77.433932)";2011434524
Table 2;2000;4;31650;Minneapolis/St. Paul, MN;44;2,789,820;212.00;21.18;1,000.6;2,626,300;206.49;20.99;983.6;"Minneapolis/St. Paul, MN
(44.977479, -93.264346)";2000431650
Table 2;2003;3;30792;Buffalo, NY;17;683,130;127.08;12.63;1,005.5;652,490;124.95;13.40;932.2;"Buffalo, NY
(39.945422, -78.64671)";2003330792
Table 2;2012;2;30666;Bellingham, WA;4;177,380;123.21;12.80;962.6;153,950;126.39;13.12;963.3;"Bellingham, WA
(41.698264, -88.077915)";2012230666
Table 2;2002;2;31714;Fort Myers, FL;17;732,480;137.99;12.64;1,091.4;818,280;149.67;13.73;1,089.5;"Fort Myers, FL
(40.253979, -103.801495)";2002231714
Table 2;2000;2;33192;Sacramento, CA;20;1,499,630;130.55;16.62;785.3;1,345,780;123.16;16.17;761.5;"Sacramento, CA
(38.582087, -121.50012)";2000233192
Table 2;2009;4;33192;Sacramento, CA;25;1,552,110;149.13;16.86;884.3;1,633,200;156.85;17.86;878.2;"Sacramento, CA
(38.582087, -121.50012)";2009433192
Table 2;2010;2;30529;Hartford, CT;23;831,790;214.23;16.49;1,299.1;876,210;182.12;14.38;1,266.4;"Hartford, CT
(41.765775, -72.673356)";2010230529
Table 2;2018;1;30721;Boston, MA (Metropolitan Area);47;5,745,640;199.34;15.99;1,246.7;5,552,190;207.20;16.66;1,244.0;"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)";2018130721
Table 2;2019;4;33316;Omaha, NE;14;555,600;211.83;21.21;998.7;577,910;198.94;20.05;992.3;;2019433316
Table 2;2011;3;31135;Myrtle Beach, SC;5;209,370;112.44;17.57;639.9;189,550;117.57;18.24;644.3;"Myrtle Beach, SC
(33.68785, -78.883852)";2011331135
Table 2;2004;4;31703;New York City, NY (Metropolitan Area);76;13,323,200;168.43;14.06;1,197.3;12,266,940;182.30;15.07;1,209.4;"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)";2004431703
Table 2;2009;2;31884;Spokane, WA;11;389,700;128.26;20.42;627.9;421,740;126.12;21.51;586.2;"Spokane, WA
(47.658999, -117.425022)";2009231884
Table 2;2011;4;30559;Seattle, WA;45;3,681,300;198.46;14.57;1,362.0;3,631,130;184.12;13.55;1,358.4;"Seattle, WA
(47.603229, -122.33028)";2011430559
Table 2;2019;1;32211;Las Vegas, NV;65;6,308,720;188.08;15.57;1,208.2;6,234,820;181.44;14.99;1,210.8;;2019132211
Table 2;2010;3;31703;New York City, NY (Metropolitan Area);74;12,394,580;213.15;17.16;1,241.8;12,716,050;185.42;15.00;1,235.5;"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)";2010331703
Table 2;2017;2;31703;New York City, NY (Metropolitan Area);73;15,713,420;236.16;18.60;1,269.7;15,312,480;233.04;18.33;1,271.2;"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)";2017231703
Table 2;2005;3;31123;St. Louis, MO;39;1,874,910;167.25;18.27;915.2;1,889,710;162.90;17.89;910.4;"St. Louis, MO
(38.630276, -90.200309)";2005331123
Table 2;2012;2;34057;Portland, OR;31;1,918,130;203.94;16.63;1,226.0;1,845,670;206.42;16.63;1,241.1;"Portland, OR
(45.516018, -122.681425)";2012234057
Table 2;2001;3;33495;New Orleans, LA;33;1,407,390;128.21;13.58;944.0;1,479,530;141.81;15.47;916.5;"New Orleans, LA
(29.950621, -90.074948)";2001333495
Table 2;2001;3;33244;Memphis, TN;18;442,420;195.41;23.52;830.8;548,620;199.11;25.07;793.9;"Memphis, TN
(35.143378, -90.052136)";2001333244
Table 2;2013;3;30666;Bellingham, WA;3;143,610;115.32;12.27;939.7;144,900;114.35;12.16;940.1;"Bellingham, WA
(41.698264, -88.077915)";2013330666
Table 2;2015;3;34321;Portland, ME;5;181,710;232.54;44.99;516.8;168,380;234.76;46.65;503.2;"Portland, ME
(45.516018, -122.681425)";2015334321
Table 2;2003;1;30257;Albany, NY;10;274,530;148.17;11.93;1,241.6;269,160;136.64;10.75;1,270.1;"Albany, NY
(42.651242, -73.755418)";2003130257
Table 2;2007;1;31884;Spokane, WA;11;438,170;124.05;20.73;598.4;417,790;122.15;20.59;593.2;"Spokane, WA
(47.658999, -117.425022)";2007131884
Table 2;2006;1;33851;Oklahoma City, OK;14;358,600;164.44;19.61;838.4;312,550;159.52;18.66;854.5;"Oklahoma City, OK
(35.468494, -97.521264)";2006133851
Table 2;1996;4;34100;Philadelphia, PA;46;2,286,140;198.22;19.70;1,006.1;2,059,100;201.13;20.15;997.7;"Philadelphia, PA
(39.951061, -75.16562)";1996434100
Table 2;2008;2;32211;Las Vegas, NV;71;7,093,790;163.76;13.63;1,201.1;7,283,460;157.11;12.99;1,208.9;"Las Vegas, NV
(36.169202, -115.140597)";2008232211
Table 2;2020;2;30194;Dallas/Fort Worth, TX;76;1,119,080;173.75;17.15;1,012.8;7,711,830;232.08;23.40;991.6;(40.11086, -77.035636);2020230194
Table 2;1999;1;34262;Palm Springs, CA;5;143,720;190.25;16.64;1,143.0;141,450;177.27;15.43;1,148.2;"Palm Springs, CA
(33.830302, -116.546843)";1999134262
Table 2;2008;4;30721;Boston, MA (Metropolitan Area);53;5,503,670;203.68;17.26;1,179.5;6,076,080;194.77;16.54;1,177.4;"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)";2008430721
Table 2;2001;4;33214;San Antonio, TX;31;928,540;143.90;14.08;1,021.8;1,085,820;165.93;17.19;965.1;"San Antonio, TX
(29.425173, -98.494599)";2001433214
Table 2;2007;1;33105;Cincinnati, OH;18;455,950;304.60;32.33;942.1;507,280;281.08;30.32;926.8;"Cincinnati, OH
(39.104427, -84.513808)";2007133105
Table 2;2020;3;31884;Spokane, WA;16;241,380;160.23;16.40;977.2;568,950;190.27;22.72;837.4;;2020331884
Table 2;2010;1;30194;Dallas/Fort Worth, TX;65;4,665,160;204.56;22.87;894.2;4,592,370;186.60;21.26;877.7;"Dallas/Fort Worth, TX
(40.11086, -77.035636)";2010130194
Table 2;2002;2;34100;Philadelphia, PA;42;2,568,620;193.96;17.08;1,135.1;2,679,100;220.92;20.00;1,104.1;"Philadelphia, PA
(39.951061, -75.16562)";2002234100
Table 2;1998;4;32575;Los Angeles, CA (Metropolitan Area);64;9,208,540;177.29;14.26;1,242.7;8,864,000;174.71;14.03;1,244.4;"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)";1998432575
Table 2;2002;4;34492;Raleigh/Durham, NC;35;1,328,650;148.29;15.72;943.3;1,256,980;135.43;14.10;959.9;"Raleigh/Durham, NC
(42.673348, -72.179683)";2002434492
Table 2;2003;2;30325;Denver, CO;48;3,305,290;177.70;16.44;1,080.7;3,259,930;191.26;17.74;1,077.6;"Denver, CO
(39.738453, -104.984853)";2003230325
Table 2;2013;1;34524;Richmond, VA;9;278,090;215.37;25.13;856.8;269,400;215.54;25.83;834.3;"Richmond, VA
(37.540759, -77.433932)";2013134524
Table 2;2001;1;30615;El Paso, TX;12;364,030;131.83;19.69;669.3;358,860;131.55;19.26;683.0;"El Paso, TX
(31.76006, -106.492257)";2001130615
Table 2;2002;1;30194;Dallas/Fort Worth, TX;67;4,100,080;190.83;22.33;854.3;5,065,620;219.23;26.49;827.3;"Dallas/Fort Worth, TX
(40.11086, -77.035636)";2002130194
Table 2;2002;1;34614;Salt Lake City, UT;34;1,485,260;160.08;15.42;1,038.0;1,786,090;157.77;15.86;994.3;"Salt Lake City, UT
(40.758478, -111.888142)";2002134614
Table 2;2009;1;30257;Albany, NY;9;278,560;158.78;13.78;1,151.6;273,150;168.97;15.12;1,117.4;"Albany, NY
(42.651242, -73.755418)";2009130257
Table 2;2016;1;34524;Richmond, VA;9;296,550;217.28;28.52;761.8;282,300;223.05;28.47;783.5;"Richmond, VA
(37.540759, -77.433932)";2016134524
Table 2;2004;2;34576;Rochester, NY;9;316,640;132.19;18.41;718.0;293,820;131.48;18.97;692.8;"Rochester, NY
(43.155708, -77.612547)";2004234576
Table 2;2011;4;30713;Boise, ID;10;356,530;165.79;30.22;548.5;355,430;139.78;26.23;532.8;"Boise, ID
(43.597772, -83.884521)";2011430713
Table 2;2018;3;31453;Houston, TX;52;4,624,430;225.77;21.46;1,052.0;4,079,050;209.56;19.69;1,064.3;;2018331453
Table 2;2005;1;31714;Fort Myers, FL;30;1,693,720;147.64;12.55;1,175.9;1,512,680;157.53;13.39;1,175.8;"Fort Myers, FL
(40.253979, -103.801495)";2005131714
Table 2;2011;4;30792;Buffalo, NY;16;791,050;173.20;18.93;914.9;837,240;150.66;16.47;914.5;"Buffalo, NY
(39.945422, -78.64671)";2011430792
Table 2;2012;2;30852;Washington, DC (Metropolitan Area);76;8,780,320;226.01;21.47;1,052.5;8,937,490;219.67;20.64;1,063.9;"Washington, DC (Metropolitan Area)
(38.892062, -77.019912)";2012230852
Table 2;2000;2;34027;West Palm Beach/Palm Beach, FL;15;944,040;160.24;14.61;1,096.8;801,890;161.16;14.49;1,111.6;"West Palm Beach/Palm Beach, FL
(33.90976, -98.500854)";2000234027
Table 2;2013;3;34576;Rochester, NY;11;276,240;197.28;22.88;862.1;305,890;171.93;19.64;875.2;"Rochester, NY
(43.155708, -77.612547)";2013334576
Table 2;2003;2;34653;Tulsa, OK;11;277,600;146.34;19.45;752.4;309,310;148.35;20.37;728.0;"Tulsa, OK
(61.096484, -160.967455)";2003234653
Table 2;2003;3;30466;Phoenix, AZ;48;3,450,230;138.88;12.46;1,114.4;3,290,330;129.14;11.87;1,087.5;"Phoenix, AZ
(30.406931, -87.217578)";2003330466
Table 2;2013;1;32337;Indianapolis, IN;25;1,055,740;214.45;20.98;1,021.9;1,088,960;224.75;22.15;1,014.4;"Indianapolis, IN
(39.76845, -86.156212)";2013132337
Table 2;2003;2;34027;West Palm Beach/Palm Beach, FL;17;998,590;139.69;13.02;1,072.2;801,700;145.79;13.54;1,076.1;"West Palm Beach/Palm Beach, FL
(33.90976, -98.500854)";2003234027
Table 2;1998;2;33214;San Antonio, TX;31;1,092,460;142.77;15.66;911.5;1,037,720;142.09;15.08;942.1;"San Antonio, TX
(29.425173, -98.494599)";1998233214
Table 2;2012;2;32211;Las Vegas, NV;68;6,158,470;191.38;15.75;1,214.4;6,208,620;191.57;15.64;1,224.7;"Las Vegas, NV
(36.169202, -115.140597)";2012232211
Table 2;2011;3;34321;Portland, ME;5;173,550;175.82;31.56;557.1;177,790;170.39;31.32;543.9;"Portland, ME
(45.516018, -122.681425)";2011334321
Table 2;2016;3;33105;Cincinnati, OH;22;839,410;212.39;21.24;1,000.1;747,240;247.42;24.78;998.6;"Cincinnati, OH
(39.104427, -84.513808)";2016333105
Table 2;2001;3;34100;Philadelphia, PA;43;2,320,920;200.28;17.72;1,130.2;2,669,920;226.90;20.59;1,101.9;"Philadelphia, PA
(39.951061, -75.16562)";2001334100
Table 2;2005;1;31135;Myrtle Beach, SC;6;111,450;118.32;20.62;573.8;101,980;116.49;19.50;597.1;"Myrtle Beach, SC
(33.68785, -78.883852)";2005131135
Table 2;2019;3;34576;Rochester, NY;5;171,200;191.40;38.09;502.5;165,910;185.16;35.43;522.5;(43.155708, -77.612547);2019334576
Table 2;2006;1;33316;Omaha, NE;17;540,610;163.22;16.55;986.2;494,560;157.72;15.71;1,003.7;"Omaha, NE
(46.07035, -93.666319)";2006133316
Table 2;2004;2;31423;Des Moines, IA;7;154,500;161.14;15.71;1,025.4;130,850;158.29;15.49;1,021.5;"Des Moines, IA
(41.588822, -93.620309)";2004231423
Table 2;1998;1;31995;Greensboro/High Point, NC;10;202,460;213.07;40.84;521.7;186,970;220.17;42.08;523.2;"Greensboro/High Point, NC
(36.072701, -79.793899)";1998131995
Table 2;2016;2;33044;Louisville, KY;16;437,870;253.65;26.88;943.7;448,990;250.97;26.60;943.5;"Louisville, KY
(38.256078, -85.751569)";2016233044
Table 2;2005;3;31453;Houston, TX;56;3,727,600;166.01;17.38;955.2;3,462,130;172.31;18.39;936.8;"Houston, TX
(29.760803, -95.369506)";2005331453
Table 2;2019;2;33044;Louisville, KY;15;524,870;230.34;24.75;930.6;455,900;242.53;25.63;946.2;(38.256078, -85.751569);2019233044
Table 2;2001;2;34027;West Palm Beach/Palm Beach, FL;19;1,029,000;146.42;13.26;1,103.6;986,140;161.04;14.64;1,099.8;"West Palm Beach/Palm Beach, FL
(33.90976, -98.500854)";2001234027
Table 2;2007;3;30792;Buffalo, NY;18;925,650;137.97;15.34;899.0;836,790;136.97;15.03;911.1;"Buffalo, NY
(39.945422, -78.64671)";2007330792
Table 2;2007;3;34576;Rochester, NY;12;353,200;153.36;17.03;900.2;344,280;148.38;16.66;890.4;"Rochester, NY
(43.155708, -77.612547)";2007334576
Table 2;2006;1;32337;Indianapolis, IN;26;1,157,990;161.16;15.53;1,037.4;1,192,930;136.21;13.03;1,044.9;"Indianapolis, IN
(39.76845, -86.156212)";2006132337
Table 2;2010;2;31714;Fort Myers, FL;21;1,198,270;160.62;14.28;1,124.2;1,279,940;152.25;13.74;1,108.1;"Fort Myers, FL
(40.253979, -103.801495)";2010231714
Table 2;1998;2;32896;Lubbock, TX;3;137,770;74.77;21.59;346.3;126,840;75.30;21.34;352.8;"Lubbock, TX
(41.181125, -96.030508)";1998232896
Table 2;2013;1;30140;Albuquerque, NM;18;541,270;190.40;21.83;872.0;586,440;185.17;21.53;859.8;"Albuquerque, NM
(35.084248, -106.649241)";2013130140
Table 2;2013;1;31454;Orlando, FL;66;5,805,320;187.06;17.19;1,087.7;5,733,650;184.71;17.05;1,082.8;"Orlando, FL
(28.538331, -81.378879)";2013131454
Table 2;2004;1;31454;Orlando, FL;63;5,251,780;144.97;13.02;1,112.9;4,418,260;148.28;13.40;1,106.2;"Orlando, FL
(28.538331, -81.378879)";2004131454
Table 2;2010;2;34057;Portland, OR;33;1,775,350;191.93;15.42;1,244.4;1,867,140;163.88;13.49;1,214.0;"Portland, OR
(45.516018, -122.681425)";2010234057
Table 2;2003;3;34570;Reno, NV;16;695,250;113.46;15.87;714.7;668,250;109.34;15.58;701.6;"Reno, NV
(30.177159, -95.162771)";2003334570
Table 2;2009;4;35096;Syracuse, NY;6;131,840;185.03;20.27;912.4;146,820;183.00;20.14;908.3;"Syracuse, NY
(43.047945, -76.147448)";2009435096
Table 2;2005;4;30994;Charleston, SC;4;134,760;176.58;25.83;683.6;124,430;161.57;23.88;676.5;"Charleston, SC
(32.77647, -79.931027)";2005430994
Table 2;2014;3;34100;Philadelphia, PA;45;3,106,550;247.58;20.00;1,237.6;3,060,930;234.97;19.02;1,235.1;"Philadelphia, PA
(39.951061, -75.16562)";2014334100
