tbl;Year;quarter;citymarketid_1;citymarketid_2;city1;city2;cur_passengers;cur_fare;ly_fare;ly_passengers;amount_change;percent_change;amount_change_pax;percent_change_pax;Geocoded_City1;Geocoded_City2
Table 4;2,021;1;30,599;30,977;Birmingham, AL;Chicago, IL;10,730;152.21;235.28;17,280;-83.07;-0.3531;-6,550;-0.3790;;
Table 4;2,021;1;30,721;30,849;Boston, MA (Metropolitan Area);Bozeman, MT;7,370;214.01;354.09;10,150;-140.08;-0.3956;-2,780;-0.2739;;
Table 4;2,021;1;30,721;31,454;Boston, MA (Metropolitan Area);Orlando, FL;168,070;112.41;176.06;369,330;-63.65;-0.3615;-201,260;-0.5449;;
Table 4;2,021;1;30,721;31,624;Boston, MA (Metropolitan Area);Key West, FL;11,740;195.14;319.56;12,790;-124.42;-0.3893;-1,050;-0.0821;;
Table 4;2,021;1;30,721;34,986;Boston, MA (Metropolitan Area);Sarasota/Bradenton, FL;28,810;143.18;236.48;31,250;-93.31;-0.3946;-2,440;-0.0781;;
Table 4;2,021;1;30,977;30,693;Chicago, IL;Nashville, TN;38,990;126.25;210.14;77,090;-83.89;-0.3992;-38,100;-0.4942;;
Table 4;2,021;1;30,977;32,457;Chicago, IL;San Francisco, CA (Metropolitan Area);72,850;174.58;275.66;230,700;-101.08;-0.3667;-157,850;-0.6842;;
Table 4;2,021;1;30,977;33,244;Chicago, IL;Memphis, TN;19,320;134.41;210.54;28,870;-76.14;-0.3616;-9,550;-0.3308;;
Table 4;2,021;1;30,977;34,524;Chicago, IL;Richmond, VA;8,870;159.95;259.52;22,740;-99.58;-0.3837;-13,870;-0.6099;;
Table 4;2,021;1;30,977;34,699;Chicago, IL;Steamboat Springs, CO;9,100;165.36;311.38;5,450;-146.02;-0.4689;3,650;0.6697;;
Table 4;2,021;1;30,994;32,575;Charleston, SC;Los Angeles, CA (Metropolitan Area);12,010;189.38;327.50;14,040;-138.13;-0.4218;-2,030;-0.1446;;
Table 4;2,021;1;31,057;30,198;Charlotte, NC;Pittsburgh, PA;9,270;170.70;273.94;19,040;-103.24;-0.3769;-9,770;-0.5131;;
Table 4;2,021;1;31,057;30,325;Charlotte, NC;Denver, CO;44,030;122.72;198.52;59,550;-75.81;-0.3818;-15,520;-0.2606;;
Table 4;2,021;1;31,057;30,977;Charlotte, NC;Chicago, IL;36,480;159.05;247.79;71,630;-88.74;-0.3581;-35,150;-0.4907;;
Table 4;2,021;1;31,057;31,123;Charlotte, NC;St. Louis, MO;13,120;154.02;279.45;20,110;-125.42;-0.4488;-6,990;-0.3476;;
Table 4;2,021;1;31,057;33,195;Charlotte, NC;Tampa, FL (Metropolitan Area);26,650;147.95;254.45;40,030;-106.50;-0.4186;-13,380;-0.3342;;
Table 4;2,021;1;31,057;33,495;Charlotte, NC;New Orleans, LA;12,520;160.81;254.78;24,660;-93.97;-0.3688;-12,140;-0.4923;;
Table 4;2,021;1;31,057;33,728;Charlotte, NC;Pensacola, FL;7,480;153.91;236.97;6,070;-83.05;-0.3505;1,410;0.2323;;
Table 4;2,021;1;31,295;32,575;Detroit, MI;Los Angeles, CA (Metropolitan Area);68,170;174.73;293.50;117,430;-118.77;-0.4047;-49,260;-0.4195;;
Table 4;2,021;1;31,453;33,158;Houston, TX;Midland/Odessa, TX;30,310;166.45;293.10;53,660;-126.64;-0.4321;-23,350;-0.4352;;
Table 4;2,021;1;31,453;33,244;Houston, TX;Memphis, TN;19,530;143.80;221.74;22,450;-77.94;-0.3515;-2,920;-0.1301;;
Table 4;2,021;1;31,454;30,559;Orlando, FL;Seattle, WA;46,880;177.09;289.16;67,680;-112.06;-0.3876;-20,800;-0.3073;;
Table 4;2,021;1;31,454;31,884;Orlando, FL;Spokane, WA;8,940;183.17;283.36;7,970;-100.19;-0.3536;970;0.1217;;
Table 4;2,021;1;31,454;32,457;Orlando, FL;San Francisco, CA (Metropolitan Area);47,440;173.90;282.56;96,460;-108.66;-0.3846;-49,020;-0.5082;;
Table 4;2,021;1;31,454;34,321;Orlando, FL;Portland, ME;8,530;113.70;175.46;21,900;-61.76;-0.3520;-13,370;-0.6105;;
Table 4;2,021;1;31,454;34,570;Orlando, FL;Reno, NV;10,560;183.54;286.33;9,350;-102.78;-0.3590;1,210;0.1294;;
Table 4;2,021;1;31,503;31,703;Eagle, CO;New York City, NY (Metropolitan Area);23,870;268.39;444.93;26,910;-176.54;-0.3968;-3,040;-0.1130;;
Table 4;2,021;1;31,650;33,570;Minneapolis/St. Paul, MN;San Diego, CA;35,850;127.37;211.67;67,870;-84.30;-0.3982;-32,020;-0.4718;;
Table 4;2,021;1;31,703;32,457;New York City, NY (Metropolitan Area);San Francisco, CA (Metropolitan Area);120,640;218.75;358.80;579,640;-140.04;-0.3903;-459,000;-0.7919;;
Table 4;2,021;1;31,714;34,492;Fort Myers, FL;Raleigh/Durham, NC;7,350;151.06;245.87;8,480;-94.81;-0.3856;-1,130;-0.1332;;
Table 4;2,021;1;32,211;31,703;Las Vegas, NV;New York City, NY (Metropolitan Area);107,580;158.14;284.67;289,530;-126.53;-0.4445;-181,950;-0.6284;;
Table 4;2,021;1;32,211;32,467;Las Vegas, NV;Miami, FL (Metropolitan Area);87,260;136.55;230.69;119,960;-94.13;-0.4080;-32,700;-0.2726;;
Table 4;2,021;1;32,211;33,158;Las Vegas, NV;Midland/Odessa, TX;8,510;164.39;279.54;8,710;-115.15;-0.4119;-200;-0.0230;;
Table 4;2,021;1;32,211;34,100;Las Vegas, NV;Philadelphia, PA;38,030;144.25;238.31;79,750;-94.06;-0.3947;-41,720;-0.5231;;
Table 4;2,021;1;32,211;34,524;Las Vegas, NV;Richmond, VA;9,250;180.60;297.00;12,290;-116.40;-0.3919;-3,040;-0.2474;;
