Year,quarter,citymarketid,TotalFaredPax,TotalPerLFMkts,TotalAvgHubFare,TotalPerPrem,SHPax,SHAvgHubFare,SHPerPrem,LHPax,LHAvgHubFare,LHPerPrem
2022,3,33485,319820,0.1443,318.07,0.2361,78270,289.36,0.2972,241550,327.37,0.2196
2022,3,33486,172890,0.3236,307.16,0.0712,50520,218.33,-0.021100000000000008,122370,343.83,0.0984
2022,3,31650,4124570,0.9122,250.06,0.1312,1067350,232.91,0.2754,3057220,256.05,0.092
2022,3,33495,2080800,0.9775,197.98,-0.1306,847190,167.21,-0.14879999999999993,1233610,219.11,-0.12069999999999999
2022,3,33502,46880,0.4953,317.96,0.1648,20800,267.48,0.07119999999999999,26080,358.21,0.2287
2022,3,33541,62480,0.9979,253.53,0.3255,51410,200.56,0.3042,11070,499.52,0.367
2022,3,33851,717740,0.9173,256.24,0.0218,240530,203.45,-0.08360000000000001,477210,282.85,0.0662
2022,3,33316,830830,0.9053,250.4,0.0478,231050,212.47,0.06969999999999998,599780,265.01,0.0412
2022,3,32575,1220020,0.9536,229.54,-0.0565,385140,144.68,-0.07199999999999995,834880,268.68,-0.052599999999999994
2022,3,30977,7529350,0.5265,237.29,0.1249,2127950,215.38,0.2263,5401400,245.93,0.0937
2022,3,33667,857130,0.7718,257.07,-0.0101,457520,199.92,-0.025599999999999956,399610,322.5,0.0011999999999999997
2022,3,34004,129100,0.0,192.53,-0.1016,47270,150.09,-0.29710000000000003,81830,217.04,0.0107
2022,3,34027,999230,0.8524,234.55,0.0591,127320,226.44,0.14639999999999997,871910,235.73,0.0479
2022,3,34057,2851740,0.8227,284.57,0.0771,619410,192.18,0.10520000000000002,2232330,310.21,0.0724
2022,3,33667,32350,0.0,312.98,0.1588,15150,261.88,0.09960000000000002,17200,357.99,0.2005
2022,3,30466,5270710,0.9381,233.62,-0.0044,1874430,157.06,-0.028100000000000014,3396280,275.87,0.0033
2022,3,30198,1540030,0.7891,242.26,0.0308,666250,202.33,0.07030000000000003,873780,272.71,0.0097
2022,3,33728,444520,0.6481,263.53,0.0351,200260,224.13,-0.028000000000000025,244260,295.83,0.0787
2022,3,34252,115840,0.4034,252.93,-0.0604,41560,195.56,-0.07169999999999999,74280,285.03,-0.055999999999999994
2022,3,34262,274120,0.5888,233.51,-0.102,103680,145.61,-0.18269999999999997,170440,286.98,-0.0738
2022,3,30721,722500,0.8161,234.07,0.0344,184470,198.99,0.1602,538030,246.09,0.0042
2022,3,34321,537180,0.6964,280.81,0.1154,193140,220.97,0.2768,344040,314.41,0.0624
2022,3,34457,131040,0.1284,289.99,0.081,17700,242.49,0.3089,113340,297.4,0.05750000000000001
2022,3,34489,175340,0.0654,280.8,0.0495,63320,198.18,-0.10199999999999998,112020,327.5,0.1138
2022,3,34492,2241060,0.7974,234.52,0.0269,1411230,184.59,-0.006900000000000017,829830,319.42,0.0625
2022,3,34524,771070,0.7459,246.3,-0.0416,412640,198.07,-0.04279999999999995,358430,301.82,-0.0407
2022,3,34570,815430,0.9812,257.88,0.0002,452080,168.39,-0.07340000000000002,363350,369.23,0.0474
2022,3,34574,70860,0.1136,301.54,0.1061,42430,219.82,0.07319999999999999,28430,423.5,0.1331
2022,3,31714,1345690,0.9228,219.32,-0.0779,106230,221.05,0.06390000000000001,1239460,219.18,-0.0884
2022,3,34674,26270,0.0,381.14,0.4746,14900,301.07,1.0594,11370,486.06,0.1984
2022,3,33570,4389160,0.9286,245.78,-0.0406,1481850,133.5,-0.23030000000000006,2907310,303.01,0.0156
2022,3,33214,1699590,0.9214,239.52,-0.0191,284600,193.58,-0.1058,1414990,248.76,-0.004
2022,3,34685,659380,0.7847,220.64,-0.0521,222510,191.57,-0.10429999999999995,436870,235.44,-0.0287
2022,3,34696,95940,0.4385,238.43,-0.107,26410,307.54,0.4879,69530,212.19,-0.2681
2022,3,34236,72960,0.0,292.18,0.1595,29470,221.81,0.2414,43490,339.86,0.1266
2022,3,34711,9110,0.0,341.08,0.4929,6840,275.06,0.7835,2270,540.02,0.1943
2022,3,33044,701950,0.8356,251.03,0.0173,405720,220.4,0.04820000000000002,296230,292.98,-0.0127
2022,3,30559,6353950,0.665,282.33,0.0351,1321230,181.61,-0.06389999999999996,5032720,308.77,0.0523
2022,3,32457,5482920,0.6197,307.28,0.0516,1822200,158.97,-0.06589999999999996,3660720,381.11,0.0798
2022,3,34783,180060,0.4132,263.96,0.0643,61090,273.72,0.4042,118970,258.95,-0.05929999999999999
2022,3,30476,59130,0.3839,264.24,0.022,14470,253.14,0.13170000000000004,44660,267.84,-0.0074
2022,3,32457,1957170,0.9664,199.23,-0.0756,1308770,139.07,-0.15639999999999998,648400,320.65,0.0089
2022,3,34614,2940040,0.8197,256.58,0.0682,1439090,184.26,0.028699999999999948,1500950,325.92,0.0909
2022,3,33192,2269130,0.9723,220.4,-0.1005,1317440,138.03,-0.2157,951690,334.44,-0.0182
2022,3,32575,2303710,0.8284,244.13,0.0528,872170,151.73,-0.04610000000000003,1431540,300.42,0.0875
2022,3,31123,2110590,0.9393,228.95,0.0318,893310,197.43,-0.011299999999999977,1217280,252.08,0.058300000000000005
2022,3,34433,114420,0.2522,187.11,-0.0031,109950,177.44,-0.016800000000000037,4470,424.9,0.1634
2022,3,35041,28580,0.0,371.08,0.5123,24710,314.76,0.4109,3870,730.71,0.8851
2022,3,35096,492450,0.7315,248.55,-0.0604,180930,192.55,-0.032399999999999984,311520,281.08,-0.0711
2022,3,35249,97680,0.0,317.86,0.2289,51430,254.21,0.1367,46250,388.65,0.3059
2022,3,33195,3395690,0.9411,216.14,-0.047,597910,182.86,-0.06369999999999998,2797780,223.25,-0.0441
2022,3,35323,29230,0.1676,338.52,0.1745,11940,204.73,-0.1199,17290,430.92,0.3193
2022,3,34653,540700,0.8869,236.58,-0.057,236890,196.84,-0.11480000000000001,303810,267.56,-0.0204
2022,3,30436,513520,0.7844,267.38,-0.0304,156750,183.2,-0.05379999999999996,356770,304.37,-0.0241
2022,3,35380,138330,0.1133,369.36,0.4237,62430,302.94,0.3437,75900,423.99,0.47519999999999996
2022,3,35412,396570,0.4887,263.62,0.078,212990,214.72,0.01629999999999998,183580,320.35,0.1314
2022,3,31504,439200,0.8531,195.75,-0.1749,262590,165.63,-0.26359999999999995,176610,240.53,-0.05879999999999999
2022,3,31834,279490,0.4651,284.85,0.1944,118510,257.4,0.3306,160980,305.06,0.12300000000000001
2022,2,30135,164710,0.7271,154.33,-0.3342,51030,208.83,-0.08399999999999996,113680,129.87,-0.4438
2022,2,30140,859310,0.9527,261.62,-0.0039,371170,200.95,-0.038000000000000034,488140,307.76,0.0139
2022,2,30154,29930,0.6869,181.66,-0.0109,29930,181.66,-0.01090000000000002,127381,225.10367816347468,-0.04047164506934489
2022,2,30157,29970,0.3363,206.87,-0.0811,24500,191.3,-0.121,5470,276.57,0.069
2022,2,30185,7240,0.0,317.98,0.1203,3220,255.33,0.03359999999999996,4020,368.15,0.1751
2022,2,30208,71850,0.0,349.19,0.2764,43040,301.1,0.17930000000000001,28810,421.03,0.3994
2022,2,30257,508040,0.7879,268.18,-0.0227,135200,219.57,0.026499999999999968,372840,285.81,-0.03559999999999999
2022,2,30279,98780,0.8894,229.6,-0.0497,57460,186.79,0.008900000000000019,41320,289.15,-0.0969
2022,3,31617,4170,0.0,274.84,-0.1317,4170,274.84,-0.13170000000000004,71205,284.30705599338216,0.2562166708168383
2022,2,30372,39390,0.0,502.29,0.8069,14970,391.69,0.7094,24420,570.09,0.8514
2022,2,30397,7463050,0.8902,243.3,0.1202,4340760,203.04,0.0802,3122290,299.26,0.1608
2022,2,30408,126950,0.6959,200.57,-0.2612,16690,231.31,0.06479999999999997,110260,195.91,-0.2995
2023,2,31503,12230,0.0,475.03,0.564,5070,410.92,0.742,7160,520.43,0.4794
2022,2,30423,3590040,0.9204,238.1,-0.0244,423300,186.35,-0.06130000000000002,3166740,245.02,-0.0204
2022,2,30431,279030,0.6282,215.72,-0.1001,174550,181.75,-0.13319999999999999,104480,272.48,-0.06019999999999999
2022,2,30434,49460,0.0,286.54,-0.0582,17190,234.38,0.05609999999999998,32270,314.32,-0.097
2022,2,30466,338030,1.0,120.47,-0.5333,43050,88.76,-0.5748000000000001,294980,125.1,-0.5285
2022,2,30469,4220,0.0,333.82,-0.0155,2350,252.5,-0.03159999999999996,1870,436.02,-0.0034999999999999996
2022,2,30529,1147490,0.8184,257.53,-0.0114,260950,211.91,0.011700000000000044,886540,270.96,-0.0166
2022,2,30561,23680,0.0,311.09,0.0747,7400,223.88,0.027200000000000002,16280,350.73,0.0894
2022,2,30581,111140,0.2993,239.94,-0.1253,33250,221.37,0.06790000000000002,77890,247.87,-0.1817
2022,2,30599,486020,0.7025,299.04,0.1535,299500,259.25,0.10670000000000002,186520,362.95,0.2124
2022,2,30627,58640,0.6465,208.98,-0.1722,15490,206.12,0.125,43150,210.01,-0.24260000000000004
2022,2,30666,108650,0.9722,139.01,-0.4081,2350,176.72,4.5224,106300,138.18,-0.4226
2022,2,30685,45380,0.5452,191.67,-0.2044,14510,260.54,0.3226,30870,159.29,-0.391
2022,2,30693,3336830,0.9676,242.04,0.0451,1758030,209.48,0.014499999999999957,1578800,278.29,0.0722
2022,4,31612,19570,0.3173,248.45,0.0494,17460,217.22,0.01880000000000004,2110,506.91,0.1742
2023,2,32600,388500,0.8401,272.53,0.0432,168900,239.93,0.009199999999999986,219600,297.6,0.0655
2023,2,34057,2873910,0.7861,261.56,-0.0104,609650,188.89,0.02410000000000001,2264260,281.13,-0.0165
2022,4,32124,7010,0.0,232.58,-0.0459,7010,232.58,-0.04590000000000005,83468,257.3660150938256,0.1205932545067976
2022,4,33195,476260,1.0,112.74,-0.5207,118530,98.07,-0.5538,357730,117.6,-0.5106
2022,4,30676,52400,1.0,103.88,-0.5762,11440,102.73,-0.5342000000000001,40960,104.2,-0.5864
2022,4,34314,76010,1.0,95.76,-0.6004,60080,91.03,-0.5944000000000002,15930,113.61,-0.6175
2022,4,31703,40150,1.0,103.56,-0.5456,6630,90.91,-0.5255,33520,106.06,-0.5488
2022,4,35356,92950,0.9998,95.63,-0.6058,15160,85.74,-0.6470000000000001,77790,97.56,-0.5978
2022,4,34761,550350,1.0,113.46,-0.5338,163050,97.84,-0.5781,387300,120.04,-0.5164
2023,1,30436,657400,0.7085,279.04,0.0479,177340,205.34,0.031000000000000028,480060,306.27,0.05220000000000001
2023,1,30852,2511190,0.9755,213.43,-0.07,867790,175.52,-0.04290000000000005,1643400,233.45,-0.0804
2023,1,34570,680570,0.9561,249.92,-0.0047,394980,185.67,-0.04200000000000004,285590,338.79,0.0256
2023,1,30372,136750,0.0,495.83,0.9659,42550,418.77,0.8137,94200,530.65,1.0265
2023,1,34252,100600,0.2848,271.52,0.0104,43160,226.19,-0.00019999999999997797,57440,305.57,0.0164
2023,1,34433,83690,0.2833,175.27,-0.1805,81040,169.01,-0.19120000000000004,2650,366.56,0.0077
2023,1,30721,5305870,0.9488,237.43,-0.0328,1268930,165.9,-0.05359999999999998,4036940,259.92,-0.0285
2023,1,35249,96790,0.0,348.34,0.3487,52320,299.17,0.2582,44470,406.19,0.4384
2023,1,34057,2205670,0.8113,236.28,-0.0409,489290,183.77,0.01759999999999995,1716380,251.25,-0.0523
2023,1,30747,10810,0.0,339.89,0.3091,6160,264.32,0.5751,4650,439.98,0.1539
2023,1,34574,63910,0.1618,284.45,0.0788,42100,222.01,0.008399999999999963,21810,404.96,0.1648
2023,1,32457,1572540,0.9636,193.67,-0.0775,1106610,153.31,-0.11219999999999997,465930,289.54,-0.029799999999999997
2023,1,30977,1906960,0.997,188.66,-0.1066,556340,171.11,-0.04720000000000002,1350620,195.89,-0.1262
2023,1,32575,533990,0.9949,160.9,-0.2041,339050,137.2,-0.1904,194940,202.13,-0.2198
2023,1,30158,130940,0.9988,110.78,-0.4985,10240,93.5,-0.5922,120700,112.24,-0.49019999999999997
2023,1,30852,3578760,0.6082,241.28,0.1009,1561600,203.62,0.138,2017160,270.44,0.0804
2023,1,30194,5195530,0.5466,261.56,0.168,1253560,235.1,0.18730000000000002,3941970,269.98,0.1627
2023,1,31977,70570,0.6324,291.78,0.1176,8330,308.11,3.4364,62240,289.6,0.0101
2023,1,35323,27620,0.1839,300.12,0.1656,16730,244.61,0.09920000000000001,10890,385.42,0.23849999999999996
2023,1,33502,97320,0.6823,308.74,0.0865,31350,223.23,-0.12290000000000001,65970,349.38,0.1714
2023,1,31612,20220,0.2394,267.02,0.2135,15980,231.87,0.16869999999999996,4240,399.49,0.3244
2023,1,34761,539410,1.0,119.86,-0.4938,121420,91.15,-0.6016,417990,128.2,-0.4638
2023,1,31986,625990,0.8516,240.62,-0.0228,138590,258.87,0.12580000000000002,487400,235.43,-0.0615
2023,1,32575,1007390,0.9472,226.53,-0.0449,353110,168.14,0.00770000000000004,654280,258.04,-0.0621
2023,1,30189,292870,0.9185,220.53,-0.1172,131200,179.77,-0.1703,161670,253.61,-0.0835
2022,4,34696,132640,0.4649,251.28,-0.0534,34750,308.77,0.3672,97890,230.87,-0.1741
2022,4,34321,351920,0.6332,270.14,0.0034,128470,210.83,0.06619999999999998,223450,304.23,-0.0196
2022,4,30372,64560,0.0,470.59,0.7663,22860,389.91,0.6816,41700,514.82,0.804
2022,4,34057,2588350,0.7512,267.71,0.0172,574910,191.73,0.04099999999999998,2013440,289.4,0.0129
2022,4,31823,117000,0.5179,235.23,-0.1318,28490,288.31,0.1835,88510,218.14,-0.2202
2022,4,33195,3934260,0.9427,230.2,-0.0154,684860,203.63,-0.006399999999999961,3249400,235.81,-0.017
2022,4,34711,13770,0.0,337.33,0.4363,10730,280.16,0.6073,3040,539.12,0.2018
2022,4,34685,633140,0.7389,247.43,-0.0197,328800,205.63,-0.0968,304340,292.59,0.04820000000000001
2022,4,34699,30710,0.6851,329.11,0.3093,2980,159.93,-0.10819999999999996,27730,347.29,0.3403
2022,4,31650,3875030,0.8626,252.94,0.0826,907560,226.85,0.1644,2967470,260.92,0.0627
2022,4,30194,2290770,0.9973,204.84,-0.0561,937419,182.45,-0.05920000000000003,1353350,220.34,-0.0543
2022,4,31895,31890,0.4538,208.99,-0.0854,13150,243.5,0.2106,18740,184.77,-0.254
